Title,Price,Address,Details
5 bedroom terraced duplex for rent,"₦75,000,000per annum","Banana Island Ikoyi Lagos, Banana Island, Ikoyi, Lagos",N/A
2 bedroom flat / apartment for rent,"₦3,500,000per annum","Off Ojuelegba Road, Surulere, Lagos",N/A
Office space for rent,"₦18,000,000per annum","Surulere, Surulere, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦200,000,000","Ajah, Ajah, Lagos",N/A
4 bedroom flat / apartment for rent,"₦4,500,000per annum","Ogombo, Ogombo, Ajah, Lagos",N/A
5 bedroom detached duplex for sale,"₦950,000,000","Jabi, Abuja",N/A
1 bedroom mini flat (room and parlour) for rent,"₦5,000,000per annum","By Shoprite And Cedar Crest Hospital, Apo, Abuja",N/A
4 bedroom semi-detached duplex for sale,"₦340,000,000","GRA Phase 1, Magodo, Lagos",N/A
3 bedroom flat / apartment for rent,"₦9,000,000per annum","Jahi, Gilmore, Jahi, Abuja",N/A
6 bedroom detached duplex for sale,"₦4,500,000,000","Banana Island, Ikoyi, Lagos",N/A
4 bedroom block of flats for sale,"₦450,000,000","Oniru, Victoria Island (VI), Lagos",N/A
3 bedroom block of flats for sale,"₦310,000,000","Ikate, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦500,000,000","Osapa London, Lekki, Lagos",N/A
2 bedroom terraced bungalow for sale,"₦130,000,000","Kunsela Road Ikate, Ikate, Lekki, Lagos",N/A
3 bedroom detached duplex for rent,"₦12,000,000per annum","Off Freedom Way Lekki Phase 1, Ikate, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦179,000,000","Next To Coastal Highway, Easy Access To Vi,ikoyi), Ilasan, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦20,000,000per annum","Idado, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦18,000,000per annum","Ikate Elegushi, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦6,000,000per annum","Off Kunsela Road, Ikate Elegushi, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦700,000,000","Regional Estate, Osapa, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦175,000,000","Lekki Phase 2, Lekki, Lagos",N/A
1 bedroom flat / apartment for sale,"₦130,000,000","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦5,500,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment for rent,"₦5,500,000per annum","Off Fola Osibo, Lekki Phase 1, Lekki, Lagos",N/A
Plaza / complex / mall for sale,"₦250,000,000","Nitel Junction Lobito, Ademola Adetokunbo Crescent, Wuse 2, Abuja",N/A
2 bedroom flat / apartment for rent,"₦40,000,000per annum","Ikoyi, Lagos",N/A
3 bedroom flat / apartment for rent,"₦32,000,000per annum","Off Bourdillon Rd, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for sale,"₦250,000,000","Ogba, Ikeja, Lagos",N/A
5 bedroom semi-detached duplex for rent,"₦7,500,000per annum","Opic Estate, GRA, Isheri North, Lagos",N/A
3 bedroom flat / apartment for sale,"₦120,000,000","Dakibiyu, Abuja",N/A
5 bedroom detached duplex for sale,"₦1,500,000,000","Peaceville Estate, Idado, Lekki, Lagos",N/A
Mixed-use land for sale,"₦9,000,000,000","Kofo Abayomi, Victoria Island (VI), Lagos",N/A
2 bedroom detached duplex for sale,"₦800,000,000","Victoria Island (VI), Lagos",N/A
3 bedroom flat / apartment for rent,"₦5,000,000per annum","Orchid Road, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦900,000per month","Oral Estate, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦8,500,000per annum","Orchid Rd, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦15,000,000per annum","Ikate, Lekki, Lagos",N/A
4 bedroom house for rent,"₦15,000,000per annum","Lekki County, Ikota, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦15,000,000per annum","Osapa, Lekki, Lagos",N/A
5 bedroom house for rent,"₦25,000,000per annum","Agungi, Lekki, Lagos",N/A
Residential land for sale,"₦650,000,000","Carlton Gate Estate Chevron, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom block of flats for sale,"₦185,000,008","Ali Dada, Okota, Isolo, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦700,000,000","Ikoyi, Ikoyi, Lagos",N/A
2 bedroom flat / apartment for sale,"₦32,000,000","Lagos Homes, Lsdpc Egan, Igando, Ikotun, Lagos",N/A
1 bedroom block of flats for sale,"₦150,000,000","Off Moshalashi Bus-stop, Ijesha, Surulere, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,300,000per annum","Ogombo, Ajah, Lagos",N/A
4 bedroom detached duplex for sale,"₦130,000,000","Ejigbo, Idimu, Lagos",N/A
3 bedroom block of flats for sale,"₦200,000,000","GRA Phase 2, Magodo, Lagos",N/A
4 bedroom terraced duplex for rent,"₦17,000,000per annum","Guzape District, Abuja",N/A
3 bedroom flat / apartment for rent,"₦8,000,000per annum","Jahi, Abuja",N/A
4 bedroom terraced duplex for sale,"₦260,000,000","Kaura, Abuja",N/A
4 bedroom flat / apartment for sale,"₦320,000,000","Isujeh Street, Ikate, Lekki, Lagos",N/A
1 bedroom block of flats for sale,"₦560,000,000","Ozumba Mbadiwe, Victoria Island (VI), Lagos",N/A
3 bedroom block of flats for sale,"₦450,000,000","Ahmadu Bello Way, New Coastal Road, Victoria Island (VI), Lagos",N/A
2 bedroom block of flats for sale,"₦660,000,000","20 Ozumba Mbadiwe, Victoria Island (VI), Lagos",N/A
4 bedroom terraced duplex for sale,"₦1,200,000,000","Ahmadu Bello Way, Naval Dockyard, Victoria Island (VI), Lagos",N/A
2 bedroom flat / apartment for rent,"₦25,000,000per annum","Victoria Island (VI), Lagos",N/A
3 bedroom flat / apartment for sale,"₦650,000,000","Victoria Island (VI), Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦600,000,000","Oniru, Victoria Island (VI), Lagos",N/A
2 bedroom terraced duplex for rent,"₦6,500,000per annum","Orchid, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦180,000,000","Gra, Ikota, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦500,000,000","VGC, Lekki, Lagos",N/A
2 bedroom block of flats for sale,"₦350,000,000","Periwinkle Estate, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦280,000,000","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom semi-detached duplex for sale,"₦600,000,000","Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,300,000,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦17,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦20,000,000per annum","Parkview Estate, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,500,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000per annum","Willmer Street Isheri Off Magodo Road Via Berger Under Bridge, Isheri, Lagos",N/A
5 bedroom semi-detached duplex for sale,"₦350,000,000","Legislative Quarters, Apo, Abuja",N/A
4 bedroom terraced duplex for rent,"₦30,000,000per annum","Guzape District, Abuja",N/A
Land for sale,"₦1,250,000,000","Ikate Elegushi, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦25,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦400,000,000","Amore Gardens/monteygo, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦800,000,000","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦10,000,000per annum","Chevron Drive, Lekki Expressway, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦13,000,000per annum","Ikate Elegushi, Lekki, Lagos",N/A
Self contain (single rooms) for sale,"₦250,000,000","Bloom Haven Residences, Calabarcoastal Palm Avenue, Ikate Elegushi, Le, Ikate Elegushi, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦25,000,000per annum","Blue Water Apartment, Oniru, Victoria Island (VI), Lagos",N/A
2 bedroom flat / apartment for rent,"₦2,500,000per annum","GRA Phase 1, Magodo, Lagos",N/A
4 bedroom terraced duplex for sale,"₦120,000,000","Sangotedo, Ajah, Lagos",N/A
Residential land for sale,"₦360,000,000","Ocean Palm Estate, Sangotedo, Ajah, Lagos",N/A
2 bedroom flat / apartment for rent,"₦2,000,000per annum","Newtown Estate, Ogombo, Ajah, Lagos",N/A
Residential land for sale,"₦30,000,000","Eleranigbe, Ibeju Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦140,000,000","Bogije, Ibeju Lekki, Lagos",N/A
4 bedroom block of flats for sale,"₦200,000,000","Kunsela Road, Ikate, Lekki, Lagos",N/A
Commercial property for sale,"$15,000,000approx. ₦20,940,448,950","Victoria Island (VI), Lagos",N/A
Residential land for sale,"₦60,000,000per plot","Lekki Aviation Town, Ibeju Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦5,000,000per annum","Games Village, Kaura, Abuja",N/A
Residential land for sale,"₦9,000,000per square meter","Beside Debby Hotel And Resort, Karshi, Abuja., Karshi, Abuja",N/A
4 bedroom terraced duplex for rent,"₦45,000,000per annum","Ikoyi, Ikoyi, Lagos",N/A
4 bedroom detached duplex for sale,"₦150,000,000","Thomas Estate, Ajah, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦98,000,000","Gra, Ikota, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦13,000,000per annum","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
Commercial property for sale,"₦800,000,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦16,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦50,000,000per annum","Bella Vista Apartment, Banana Island, Ikoyi, Lagos",N/A
Residential land for sale,"₦28,000,000","Rukpokwu, Port Harcourt, Rivers",N/A
4 bedroom detached duplex for sale,"₦280,000,000","Crown Estate, Sangotedo, Ajah, Lagos",N/A
3 bedroom flat / apartment for rent,"₦32,000,000per annum","Old Ikoyi, Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for rent,"₦50,000,000per annum","Old Ikoyi, Ikoyi, Lagos",N/A
2 bedroom flat / apartment for rent,"₦2,000,000per annum","Ajaxbell, Ogombo, Ajah, Lagos",N/A
Mixed-use land for sale,"₦32,200,000","Eleranigbe, Ibeju Lekki, Lagos",N/A
1 bedroom flat / apartment short let,"₦105,000per day","Mijl, Ikate, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦12,000,000per annum","By Lento Aluminum, Life Camp, Abuja",N/A
4 bedroom semi-detached duplex for rent,"₦15,000,000per annum","Works And Housing, Gwarinpa, Abuja",N/A
3 bedroom flat / apartment for rent,"₦40,000,000per annum","Banana Island Road, Ikoyi, Lagos",N/A
4 bedroom terraced duplex short let,"₦260,000per day","Adeniyi Jones, Ikeja, Lagos",N/A
Office space for rent,"₦15,000,000per annum","Tilla Bery Close, Wuse 2, Abuja",N/A
2 bedroom flat / apartment for rent,"₦1,000,000per annum","Dreamville Avenue, Magboro, Ogun",N/A
2 bedroom flat / apartment for sale,"₦120,000,000","No2 Bankole Street Ikosie Road Oregun, Ikeja, Lagos",N/A
